vdnumber,registered,valid,spoilt,total
43582608,800,672,15,687
43570054,1348,854,15,869
32861853,2382,1880,20,1900
10670150,934,600,6,606
22820059,175,113,0,113
22090058,113,70,3,73
43411160,585,440,0,440
10810842,475,349,1,350
97090342,2230,1873,4,1877
97090904,1545,1295,12,1307
11771984,148,112,1,113
11760094,440,244,5,249
43400292,1121,1052,8,1060
54680058,1238,574,5,579
76200274,1597,823,26,849
76130254,622,343,4,347
54320037,1312,796,9,805
10910191,202,143,1,144
54890208,1802,1320,10,1330
43691991,154,103,3,106
32862966,3548,2801,28,2829
33060259,2139,1613,21,1634
76520112,44,39,1,40
10790108,358,212,6,218
97141136,4200,3366,30,3396
43951136,1369,1136,17,1153
97960135,1349,1322,21,1343
11810618,368,214,5,219
43413588,1496,877,13,890
76140042,407,237,1,238
43774814,274,222,4,226
86991104,1408,879,2,881
43950797,2112,1714,27,1741
33190039,1312,1131,7,1138
11070605,283,170,1,171
32910432,870,678,1,679
33240259,1830,1126,12,1138
76351013,292,253,3,256
87060012,1803,1503,44,1547
11631653,257,167,3,170
32860605,2009,1486,15,1501
54120181,296,227,0,227
43360040,3001,2621,29,2650
11630810,232,148,2,150
11240053,1057,758,11,769
11831059,273,193,3,196
11780096,623,403,14,417
11630258,676,427,6,433
11620785,533,346,13,359
43372098,376,395,0,395
22420235,538,488,9,497
76341089,294,204,4,208
86743738,350,340,0,340
33010456,1748,1318,17,1335
43690798,680,480,7,487
43502082,2068,1309,9,1318
11821317,292,180,8,188
10250266,3608,2613,12,2625
11611134,89,63,0,63
43416604,716,624,0,624
86990147,898,430,11,441
32871416,421,478,7,485
76080573,294,296,6,302
86740331,791,551,21,572
97090195,2968,2052,12,2064
32980204,3377,2690,58,2748
43371615,1260,817,5,822
11610122,384,246,1,247
76190283,1010,699,15,714
22110163,36,30,0,30
43503140,1043,837,13,850
43583632,340,186,2,188
32860739,2685,1850,24,1874
11750565,870,591,10,601
11220051,2465,1887,37,1924
76150773,315,212,14,226
11600648,1319,868,33,901
33080048,2791,2022,13,2035
32950290,4063,3262,26,3288
43990601,1238,919,14,933
86990507,413,257,5,262
