OBJECTID,FKLPROVID,SPROVINCE,FKLMUNICID,SMUNICIPAL,FKLWARDID,PKLVDNUMBE
16779,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301024.00000,76220940.00000
16780,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301027.00000,76220951.00000
16781,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301023.00000,76220962.00000
16782,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301006.00000,76220973.00000
16783,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301013.00000,76220984.00000
16784,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301027.00000,76220995.00000
16785,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301010.00000,76221008.00000
16786,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301017.00000,76221019.00000
16787,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301019.00000,76221020.00000
16788,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301022.00000,76221031.00000
16789,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301023.00000,76221042.00000
16790,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301005.00000,76221053.00000
16791,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301004.00000,76221064.00000
16792,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301009.00000,76221075.00000
16793,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301014.00000,76221086.00000
16794,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301015.00000,76221097.00000
16795,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301018.00000,76221109.00000
16796,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301028.00000,76221110.00000
16797,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301007.00000,76221121.00000
16798,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301008.00000,76221132.00000
16799,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301011.00000,76221143.00000
16800,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301011.00000,76221154.00000
16801,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301012.00000,76221165.00000
16802,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301013.00000,76221176.00000
16803,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301013.00000,76221187.00000
16804,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301014.00000,76221198.00000
16805,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301014.00000,76221200.00000
16806,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301015.00000,76221211.00000
16807,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301017.00000,76221222.00000
16808,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301018.00000,76221233.00000
16809,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301021.00000,76221244.00000
16810,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301026.00000,76221255.00000
16811,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301028.00000,76221266.00000
16812,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301029.00000,76221277.00000
16813,7.00000,Limpopo,7702.00000,LIM331 - Greater Giyani [Giyani],93301013.00000,76221288.00000
16814,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703027.00000,76230019.00000
16815,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230020.00000
16816,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230031.00000
16817,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703029.00000,76230042.00000
16818,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703027.00000,76230053.00000
16819,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703027.00000,76230064.00000
16820,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230075.00000
16821,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230086.00000
